Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
430880 General Câmara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430885 Gentil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430890 Getúlio Vargas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430900 Giruá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430905 Glorinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430910 Gramado,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
430912 Gramado dos Loureiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430915 Gramado Xavier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430920 Gravataí,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
430925 Guabiju,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430930 Guaíba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430940 Guaporé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430950 Guarani das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430955 Harmonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430710 Herval,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430957 Herveiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430960 Horizontina,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
430965 Hulha Negra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430970 Humaitá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430975 Ibarama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430980 Ibiaçá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430990 Ibiraiaras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
430995 Ibirapuitã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431000 Ibirubá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431010 Igrejinha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431020 Ijuí,-,-,-,7,-,15,-,-,4,-,-,8,-,-,-,-,-,-,-,-,34
431030 Ilópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431033 Imbé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431036 Imigrante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431040 Independência,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431041 Inhacorá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431043 Ipê,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431046 Ipiranga do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431050 Iraí,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431053 Itaara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431055 Itacurubi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431057 Itapuca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431060 Itaqui,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
431065 Itati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431070 Itatiba do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431075 Ivorá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431080 Ivoti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431085 Jaboticaba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431087 Jacuizinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431090 Jacutinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431100 Jaguarão,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431110 Jaguari,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431112 Jaquirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431113 Jari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431115 Jóia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431120 Júlio de Castilhos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431123 Lagoa Bonita do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431127 Lagoa dos Três Cantos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431130 Lagoa Vermelha,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431125 Lagoão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431140 Lajeado,10,-,-,4,-,15,-,-,3,-,-,7,-,-,-,-,-,-,-,-,39
431142 Lajeado do Bugre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431150 Lavras do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431160 Liberato Salzano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431162 Lindolfo Collor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431164 Linha Nova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431171 Maçambará,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431170 Machadinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431173 Mampituba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431175 Manoel Viana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431177 Maquiné,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431179 Maratá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431180 Marau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431190 Marcelino Ramos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431198 Mariana Pimentel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431200 Mariano Moro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431205 Marques de Souza,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431210 Mata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431213 Mato Castelhano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431215 Mato Leitão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431217 Mato Queimado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431220 Maximiliano de Almeida,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431225 Minas do Leão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431230 Miraguaí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431235 Montauri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431237 Monte Alegre dos Campos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431238 Monte Belo do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431240 Montenegro,-,-,-,6,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
431242 Mormaço,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431244 Morrinhos do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431245 Morro Redondo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431247 Morro Reuter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431250 Mostardas,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431260 Muçum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431261 Muitos Capões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431262 Muliterno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431265 Não-Me-Toque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431267 Nicolau Vergueiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431270 Nonoai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431275 Nova Alvorada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431280 Nova Araçá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431290 Nova Bassano,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431295 Nova Boa Vista,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431300 Nova Bréscia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431301 Nova Candelária,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431303 Nova Esperança do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431306 Nova Hartz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431308 Nova Pádua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431310 Nova Palma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431320 Nova Petrópolis,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431330 Nova Prata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431333 Nova Ramada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431335 Nova Roma do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431337 Nova Santa Rita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431349 Novo Barreiro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431339 Novo Cabrais,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431340 Novo Hamburgo,-,-,-,-,1,-,10,-,2,-,-,10,-,-,-,-,10,5,1,-,39
431342 Novo Machado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431344 Novo Tiradentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431346 Novo Xingu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431350 Osório,10,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,15
431360 Paim Filho,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431365 Palmares do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431370 Palmeira das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
431380 Palmitinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431390 Panambi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
431395 Pantano Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431400 Paraí,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431402 Paraíso do Sul,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431403 Pareci Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431405 Parobé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431406 Passa Sete,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431407 Passo do Sobrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431410 Passo Fundo,23,-,-,-,-,43,-,-,12,-,-,26,-,-,-,-,10,5,-,-,119
431413 Paulo Bento,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431415 Paverama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431417 Pedras Altas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431420 Pedro Osório,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431430 Pejuçara,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431440 Pelotas,-,-,-,15,-,57,-,-,8,-,-,17,-,-,-,-,10,5,-,-,112
431442 Picada Café,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431445 Pinhal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431446 Pinhal da Serra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431447 Pinhal Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431449 Pinheirinho do Vale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431450 Pinheiro Machado,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431454 Pinto Bandeira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431455 Pirapó,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431460 Piratini,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
431470 Planalto,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431475 Poço das Antas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431477 Pontão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431478 Ponte Preta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431480 Portão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431490 Porto Alegre,48,-,-,113,-,74,262,-,29,55,-,40,60,4,-,8,90,45,-,-,828
431500 Porto Lucena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431505 Porto Mauá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431507 Porto Vera Cruz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431510 Porto Xavier,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431513 Pouso Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431514 Presidente Lucena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431515 Progresso,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431517 Protásio Alves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431520 Putinga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431530 Quaraí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431531 Quatro Irmãos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431532 Quevedos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431535 Quinze de Novembro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431540 Redentora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431545 Relvado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431550 Restinga Seca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431555 Rio dos Índios,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431560 Rio Grande,10,-,-,5,-,25,-,-,10,-,-,10,-,-,-,-,5,3,2,4,74
431570 Rio Pardo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
431575 Riozinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431580 Roca Sales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431590 Rodeio Bonito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431595 Rolador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431600 Rolante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431610 Ronda Alta,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
431620 Rondinha,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431630 Roque Gonzales,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
431640 Rosário do Sul,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
431642 Sagrada Família,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431643 Saldanha Marinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431645 Salto do Jacuí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431647 Salvador das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431650 Salvador do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431660 Sananduva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
431710 Sant'Ana do Livramento,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
431670 Santa Bárbara do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431673 Santa Cecília do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431675 Santa Clara do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431680 Santa Cruz do Sul,10,-,-,-,-,4,8,-,4,-,-,7,-,-,-,-,10,5,-,-,48
431697 Santa Margarida do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431690 Santa Maria,10,-,-,-,-,14,-,-,6,-,-,10,-,-,-,-,10,5,-,-,55
431695 Santa Maria do Herval,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431720 Santa Rosa,10,5,-,-,-,20,-,-,6,-,-,8,-,-,-,-,-,-,-,-,49
431725 Santa Tereza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431730 Santa Vitória do Palmar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
431700 Santana da Boa Vista,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431740 Santiago,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
431750 Santo Ângelo,9,-,-,2,-,10,-,-,-,-,-,8,-,-,-,-,-,-,-,-,29
431760 Santo Antônio da Patrulha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431770 Santo Antônio das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431755 Santo Antônio do Palma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431775 Santo Antônio do Planalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431780 Santo Augusto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431790 Santo Cristo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431795 Santo Expedito do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431800 São Borja,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
431805 São Domingos do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431810 São Francisco de Assis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431820 São Francisco de Paula,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431830 São Gabriel,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
431840 São Jerônimo,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431842 São João da Urtiga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431843 São João do Polêsine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431844 São Jorge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431845 São José das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431846 São José do Herval,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431848 São José do Hortêncio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431849 São José do Inhacorá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431850 São José do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431860 São José do Ouro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431861 São José do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431862 São José dos Ausentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431870 São Leopoldo,-,-,-,3,1,6,-,-,-,-,-,8,-,-,-,-,-,-,-,-,18
431880 São Lourenço do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431890 São Luiz Gonzaga,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
431900 São Marcos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431910 São Martinho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431912 São Martinho da Serra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431915 São Miguel das Missões,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
431920 São Nicolau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431930 São Paulo das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431935 São Pedro da Serra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431936 São Pedro das Missões,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431937 São Pedro do Butiá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431940 São Pedro do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431950 São Sebastião do Caí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431960 São Sepé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431970 São Valentim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431971 São Valentim do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431973 São Valério do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431975 São Vendelino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431980 São Vicente do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
431990 Sapiranga,5,-,-,-,-,7,-,-,-,-,-,6,-,-,-,-,-,-,-,-,18
432000 Sapucaia do Sul,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,6,3,-,10,29
432010 Sarandi,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
432020 Seberi,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
432023 Sede Nova,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432026 Segredo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432030 Selbach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432032 Senador Salgado Filho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432035 Sentinela do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432040 Serafina Corrêa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432045 Sério,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432050 Sertão,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
432055 Sertão Santana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432057 Sete de Setembro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432060 Severiano de Almeida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432065 Silveira Martins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
432067 Sinimbu,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
